Category,Date,Value
"Recreation, sport and culture",2016-05-01,84.8
"Recreation, sport and culture",2016-06-01,85.4
"Recreation, sport and culture",2016-07-01,85.6
"Recreation, sport and culture",2016-08-01,86.2
"Recreation, sport and culture",2016-09-01,86.2
"Recreation, sport and culture",2016-10-01,86.7
"Recreation, sport and culture",2016-11-01,86.6
"Recreation, sport and culture",2016-12-01,87.5
"Recreation, sport and culture",2017-01-01,87.4
"Recreation, sport and culture",2017-02-01,87.7
"Recreation, sport and culture",2017-03-01,87.8
"Recreation, sport and culture",2017-04-01,88.0
"Recreation, sport and culture",2017-05-01,88.0
"Recreation, sport and culture",2017-06-01,88.1
"Recreation, sport and culture",2017-07-01,88.3
"Recreation, sport and culture",2017-08-01,88.3
"Recreation, sport and culture",2017-09-01,88.1
"Recreation, sport and culture",2017-10-01,88.0
"Recreation, sport and culture",2017-11-01,87.9
"Recreation, sport and culture",2017-12-01,87.9
"Recreation, sport and culture",2018-01-01,88.0
"Recreation, sport and culture",2018-02-01,88.1
"Recreation, sport and culture",2018-03-01,88.0
"Recreation, sport and culture",2018-04-01,89.2
"Recreation, sport and culture",2018-05-01,89.2
"Recreation, sport and culture",2018-06-01,88.7
"Recreation, sport and culture",2018-07-01,88.7
"Recreation, sport and culture",2018-08-01,88.6
"Recreation, sport and culture",2018-09-01,88.6
"Recreation, sport and culture",2018-10-01,88.7
"Recreation, sport and culture",2018-11-01,88.7
"Recreation, sport and culture",2018-12-01,88.8
"Recreation, sport and culture",2019-01-01,89.0
"Recreation, sport and culture",2019-02-01,89.2
"Recreation, sport and culture",2019-03-01,89.1
"Recreation, sport and culture",2019-04-01,89.4
"Recreation, sport and culture",2019-05-01,89.5
"Recreation, sport and culture",2019-06-01,89.4
"Recreation, sport and culture",2019-07-01,89.4
"Recreation, sport and culture",2019-08-01,89.7
"Recreation, sport and culture",2019-09-01,89.8
"Recreation, sport and culture",2019-10-01,89.6
"Recreation, sport and culture",2019-11-01,89.8
"Recreation, sport and culture",2019-12-01,89.9
"Recreation, sport and culture",2020-01-01,89.7
"Recreation, sport and culture",2020-02-01,89.9
"Recreation, sport and culture",2020-03-01,89.9
"Recreation, sport and culture",2020-04-01,89.8
"Recreation, sport and culture",2020-05-01,90.4
"Recreation, sport and culture",2020-06-01,90.4
"Recreation, sport and culture",2020-07-01,90.5
"Recreation, sport and culture",2020-08-01,90.5
"Recreation, sport and culture",2020-09-01,90.8
"Recreation, sport and culture",2020-10-01,91.2
"Recreation, sport and culture",2020-11-01,91.4
"Recreation, sport and culture",2020-12-01,91.4
"Recreation, sport and culture",2021-01-01,91.1
"Recreation, sport and culture",2021-02-01,91.1
"Recreation, sport and culture",2021-03-01,91.5
"Recreation, sport and culture",2021-04-01,91.9
"Recreation, sport and culture",2021-05-01,91.8
"Recreation, sport and culture",2021-06-01,91.8
"Recreation, sport and culture",2021-07-01,92.0
"Recreation, sport and culture",2021-08-01,92.3
"Recreation, sport and culture",2021-09-01,92.3
"Recreation, sport and culture",2021-10-01,92.5
"Recreation, sport and culture",2021-11-01,92.6
"Recreation, sport and culture",2021-12-01,92.7
"Recreation, sport and culture",2022-01-01,92.9
"Recreation, sport and culture",2022-02-01,93.0
"Recreation, sport and culture",2022-03-01,93.0
"Recreation, sport and culture",2022-04-01,93.3
"Recreation, sport and culture",2022-05-01,93.6
"Recreation, sport and culture",2022-06-01,93.8
"Recreation, sport and culture",2022-07-01,94.8
"Recreation, sport and culture",2022-08-01,94.9
"Recreation, sport and culture",2022-09-01,95.0
"Recreation, sport and culture",2022-10-01,95.2
"Recreation, sport and culture",2022-11-01,95.3
"Recreation, sport and culture",2022-12-01,95.8
"Recreation, sport and culture",2023-01-01,95.8
"Recreation, sport and culture",2023-02-01,95.7
"Recreation, sport and culture",2023-03-01,96.6
"Recreation, sport and culture",2023-04-01,97.2
"Recreation, sport and culture",2023-05-01,97.1
"Recreation, sport and culture",2023-06-01,97.6
"Recreation, sport and culture",2023-07-01,97.8
"Recreation, sport and culture",2023-08-01,98.1
"Recreation, sport and culture",2023-09-01,98.5
"Recreation, sport and culture",2023-10-01,98.5
"Recreation, sport and culture",2023-11-01,98.6
"Recreation, sport and culture",2023-12-01,98.5
"Recreation, sport and culture",2024-01-01,98.9
"Recreation, sport and culture",2024-02-01,98.9
"Recreation, sport and culture",2024-03-01,99.2
"Recreation, sport and culture",2024-04-01,99.9
"Recreation, sport and culture",2024-05-01,99.9
"Recreation, sport and culture",2024-06-01,99.7
"Recreation, sport and culture",2024-07-01,99.8
"Recreation, sport and culture",2024-08-01,99.9
"Recreation, sport and culture",2024-09-01,99.9
"Recreation, sport and culture",2024-10-01,99.9
"Recreation, sport and culture",2024-11-01,99.7
"Recreation, sport and culture",2024-12-01,100.0
"Recreation, sport and culture",2025-01-01,100.4
"Recreation, sport and culture",2025-02-01,101.0
"Recreation, sport and culture",2025-03-01,101.5
"Recreation, sport and culture",2025-04-01,101.6
"Recreation, sport and culture",2025-05-01,101.6
"Recreation, sport and culture",2025-06-01,101.7
"Recreation, sport and culture",2025-07-01,102.3
"Recreation, sport and culture",2025-08-01,102.7
"Recreation, sport and culture",2025-09-01,102.8
"Recreation, sport and culture",2025-10-01,103.3
"Recreation, sport and culture",2025-11-01,102.6
"Recreation, sport and culture",2025-12-01,102.5
"Recreation, sport and culture",2026-01-01,102.8
Restaurants and accommodation services,2008-01-01,38.6
Restaurants and accommodation services,2008-02-01,38.9
Restaurants and accommodation services,2008-03-01,39.6
Restaurants and accommodation services,2008-04-01,39.9
Restaurants and accommodation services,2008-05-01,40.3
Restaurants and accommodation services,2008-06-01,40.7
Restaurants and accommodation services,2008-07-01,41.5
Restaurants and accommodation services,2008-08-01,41.7
Restaurants and accommodation services,2008-09-01,41.9
Restaurants and accommodation services,2008-10-01,42.9
Restaurants and accommodation services,2008-11-01,43.1
Restaurants and accommodation services,2008-12-01,43.5
Restaurants and accommodation services,2009-01-01,43.7
Restaurants and accommodation services,2009-02-01,44.1
Restaurants and accommodation services,2009-03-01,45.0
Restaurants and accommodation services,2009-04-01,45.2
Restaurants and accommodation services,2009-05-01,45.5
Restaurants and accommodation services,2009-06-01,45.7
Restaurants and accommodation services,2009-07-01,45.8
Restaurants and accommodation services,2009-08-01,45.8
Restaurants and accommodation services,2009-09-01,46.0
Restaurants and accommodation services,2009-10-01,46.3
Restaurants and accommodation services,2009-11-01,46.4
Restaurants and accommodation services,2009-12-01,46.9
Restaurants and accommodation services,2010-01-01,47.4
Restaurants and accommodation services,2010-02-01,47.5
Restaurants and accommodation services,2010-03-01,48.2
Restaurants and accommodation services,2010-04-01,48.3
Restaurants and accommodation services,2010-05-01,48.5
Restaurants and accommodation services,2010-06-01,50.6
Restaurants and accommodation services,2010-07-01,48.7
Restaurants and accommodation services,2010-08-01,48.7
Restaurants and accommodation services,2010-09-01,49.0
Restaurants and accommodation services,2010-10-01,49.2
Restaurants and accommodation services,2010-11-01,49.4
Restaurants and accommodation services,2010-12-01,49.5
Restaurants and accommodation services,2011-01-01,49.7
Restaurants and accommodation services,2011-02-01,49.9
Restaurants and accommodation services,2011-03-01,50.5
Restaurants and accommodation services,2011-04-01,50.9
Restaurants and accommodation services,2011-05-01,51.0
Restaurants and accommodation services,2011-06-01,51.1
Restaurants and accommodation services,2011-07-01,51.3
Restaurants and accommodation services,2011-08-01,51.4
Restaurants and accommodation services,2011-09-01,51.6
Restaurants and accommodation services,2011-10-01,52.0
Restaurants and accommodation services,2011-11-01,52.1
Restaurants and accommodation services,2011-12-01,52.3
Restaurants and accommodation services,2012-01-01,52.5
Restaurants and accommodation services,2012-02-01,52.7
Restaurants and accommodation services,2012-03-01,53.5
Restaurants and accommodation services,2012-04-01,54.0
Restaurants and accommodation services,2012-05-01,54.2
Restaurants and accommodation services,2012-06-01,54.4
Restaurants and accommodation services,2012-07-01,54.5
Restaurants and accommodation services,2012-08-01,54.6
Restaurants and accommodation services,2012-09-01,54.7
Restaurants and accommodation services,2012-10-01,54.9
Restaurants and accommodation services,2012-11-01,55.4
Restaurants and accommodation services,2012-12-01,55.8
Restaurants and accommodation services,2013-01-01,56.4
Restaurants and accommodation services,2013-02-01,56.5
Restaurants and accommodation services,2013-03-01,56.8
Restaurants and accommodation services,2013-04-01,57.1
Restaurants and accommodation services,2013-05-01,57.5
Restaurants and accommodation services,2013-06-01,57.6
Restaurants and accommodation services,2013-07-01,58.0
Restaurants and accommodation services,2013-08-01,58.2
Restaurants and accommodation services,2013-09-01,58.6
Restaurants and accommodation services,2013-10-01,58.8
Restaurants and accommodation services,2013-11-01,59.4
Restaurants and accommodation services,2013-12-01,59.8
Restaurants and accommodation services,2014-01-01,60.5
Restaurants and accommodation services,2014-02-01,60.8
Restaurants and accommodation services,2014-03-01,61.5
Restaurants and accommodation services,2014-04-01,62.0
Restaurants and accommodation services,2014-05-01,62.2
Restaurants and accommodation services,2014-06-01,62.4
Restaurants and accommodation services,2014-07-01,62.7
Restaurants and accommodation services,2014-08-01,63.2
Restaurants and accommodation services,2014-09-01,63.8
Restaurants and accommodation services,2014-10-01,64.0
Restaurants and accommodation services,2014-11-01,64.7
Restaurants and accommodation services,2014-12-01,64.9
Restaurants and accommodation services,2015-01-01,64.9
Restaurants and accommodation services,2015-02-01,65.1
Restaurants and accommodation services,2015-03-01,65.7
Restaurants and accommodation services,2015-04-01,65.5
Restaurants and accommodation services,2015-05-01,66.1
Restaurants and accommodation services,2015-06-01,66.3
Restaurants and accommodation services,2015-07-01,66.4
Restaurants and accommodation services,2015-08-01,66.7
Restaurants and accommodation services,2015-09-01,66.9
Restaurants and accommodation services,2015-10-01,67.4
Restaurants and accommodation services,2015-11-01,68.1
Restaurants and accommodation services,2015-12-01,68.2
Restaurants and accommodation services,2016-01-01,68.6
Restaurants and accommodation services,2016-02-01,69.2
Restaurants and accommodation services,2016-03-01,69.5
Restaurants and accommodation services,2016-04-01,69.3
Restaurants and accommodation services,2016-05-01,69.9
Restaurants and accommodation services,2016-06-01,70.4
Restaurants and accommodation services,2016-07-01,70.9
Restaurants and accommodation services,2016-08-01,71.1
Restaurants and accommodation services,2016-09-01,71.4
Restaurants and accommodation services,2016-10-01,71.9
Restaurants and accommodation services,2016-11-01,72.4
Restaurants and accommodation services,2016-12-01,72.9
Restaurants and accommodation services,2017-01-01,72.9
Restaurants and accommodation services,2017-02-01,73.6
Restaurants and accommodation services,2017-03-01,73.8
Restaurants and accommodation services,2017-04-01,73.7
Restaurants and accommodation services,2017-05-01,73.2
Restaurants and accommodation services,2017-06-01,73.4
Restaurants and accommodation services,2017-07-01,73.9
Restaurants and accommodation services,2017-08-01,74.1
Restaurants and accommodation services,2017-09-01,73.9
Restaurants and accommodation services,2017-10-01,74.3
Restaurants and accommodation services,2017-11-01,74.8
Restaurants and accommodation services,2017-12-01,75.2
Restaurants and accommodation services,2018-01-01,75.4
Restaurants and accommodation services,2018-02-01,75.9
Restaurants and accommodation services,2018-03-01,75.9
Restaurants and accommodation services,2018-04-01,76.9
Restaurants and accommodation services,2018-05-01,76.9
Restaurants and accommodation services,2018-06-01,76.6
Restaurants and accommodation services,2018-07-01,76.9
Restaurants and accommodation services,2018-08-01,77.1
Restaurants and accommodation services,2018-09-01,77.3
Restaurants and accommodation services,2018-10-01,77.4
Restaurants and accommodation services,2018-11-01,77.9
Restaurants and accommodation services,2018-12-01,77.9
Restaurants and accommodation services,2019-01-01,78.2
Restaurants and accommodation services,2019-02-01,78.9
Restaurants and accommodation services,2019-03-01,79.2
Restaurants and accommodation services,2019-04-01,79.0
Restaurants and accommodation services,2019-05-01,79.4
Restaurants and accommodation services,2019-06-01,79.4
Restaurants and accommodation services,2019-07-01,79.1
Restaurants and accommodation services,2019-08-01,79.4
Restaurants and accommodation services,2019-09-01,79.9
Restaurants and accommodation services,2019-10-01,79.9
Restaurants and accommodation services,2019-11-01,80.3
Restaurants and accommodation services,2019-12-01,80.2
Restaurants and accommodation services,2020-01-01,80.0
Restaurants and accommodation services,2020-02-01,80.3
Restaurants and accommodation services,2020-03-01,80.3
Restaurants and accommodation services,2020-04-01,79.9
Restaurants and accommodation services,2020-05-01,79.4
Restaurants and accommodation services,2020-06-01,79.5
Restaurants and accommodation services,2020-07-01,80.0
Restaurants and accommodation services,2020-08-01,79.9
Restaurants and accommodation services,2020-09-01,79.4
Restaurants and accommodation services,2020-10-01,79.6
Restaurants and accommodation services,2020-11-01,80.3
Restaurants and accommodation services,2020-12-01,79.9
Restaurants and accommodation services,2021-01-01,80.3
Restaurants and accommodation services,2021-02-01,79.9
Restaurants and accommodation services,2021-03-01,80.3
Restaurants and accommodation services,2021-04-01,81.4
Restaurants and accommodation services,2021-05-01,81.3
Restaurants and accommodation services,2021-06-01,81.7
Restaurants and accommodation services,2021-07-01,81.8
Restaurants and accommodation services,2021-08-01,82.1
Restaurants and accommodation services,2021-09-01,81.9
Restaurants and accommodation services,2021-10-01,82.9
Restaurants and accommodation services,2021-11-01,83.3
Restaurants and accommodation services,2021-12-01,83.3
Restaurants and accommodation services,2022-01-01,84.3
Restaurants and accommodation services,2022-02-01,84.8
Restaurants and accommodation services,2022-03-01,85.8
Restaurants and accommodation services,2022-04-01,86.0
Restaurants and accommodation services,2022-05-01,86.4
Restaurants and accommodation services,2022-06-01,86.8
Restaurants and accommodation services,2022-07-01,87.1
Restaurants and accommodation services,2022-08-01,86.8
Restaurants and accommodation services,2022-09-01,88.4
Restaurants and accommodation services,2022-10-01,89.4
Restaurants and accommodation services,2022-11-01,89.9
Restaurants and accommodation services,2022-12-01,89.8
Restaurants and accommodation services,2023-01-01,88.9
Restaurants and accommodation services,2023-02-01,90.6
Restaurants and accommodation services,2023-03-01,91.3
Restaurants and accommodation services,2023-04-01,90.4
Restaurants and accommodation services,2023-05-01,91.9
Restaurants and accommodation services,2023-06-01,91.6
Restaurants and accommodation services,2023-07-01,91.6
Restaurants and accommodation services,2023-08-01,92.4
Restaurants and accommodation services,2023-09-01,92.2
Restaurants and accommodation services,2023-10-01,95.1
Restaurants and accommodation services,2023-11-01,95.6
Restaurants and accommodation services,2023-12-01,96.0
Restaurants and accommodation services,2024-01-01,96.0
Restaurants and accommodation services,2024-02-01,96.6
Restaurants and accommodation services,2024-03-01,96.5
Restaurants and accommodation services,2024-04-01,97.2
Restaurants and accommodation services,2024-05-01,97.9
Restaurants and accommodation services,2024-06-01,98.5
Restaurants and accommodation services,2024-07-01,98.1
Restaurants and accommodation services,2024-08-01,98.5
Restaurants and accommodation services,2024-09-01,99.0
Restaurants and accommodation services,2024-10-01,100.7
Restaurants and accommodation services,2024-11-01,101.2
Restaurants and accommodation services,2024-12-01,100.0
Restaurants and accommodation services,2025-01-01,100.7
Restaurants and accommodation services,2025-02-01,101.0
Restaurants and accommodation services,2025-03-01,100.6
Restaurants and accommodation services,2025-04-01,100.1
Restaurants and accommodation services,2025-05-01,99.7
Restaurants and accommodation services,2025-06-01,100.5
Restaurants and accommodation services,2025-07-01,101.0
Restaurants and accommodation services,2025-08-01,101.1
Restaurants and accommodation services,2025-09-01,102.0
Restaurants and accommodation services,2025-10-01,102.8
Restaurants and accommodation services,2025-11-01,103.5
Restaurants and accommodation services,2025-12-01,102.9
Restaurants and accommodation services,2026-01-01,104.2
Transport,2008-01-01,45.8
Transport,2008-02-01,45.9
Transport,2008-03-01,46.8
Transport,2008-04-01,47.4
Transport,2008-05-01,47.9
Transport,2008-06-01,49.5
Transport,2008-07-01,50.5
Transport,2008-08-01,50.0
Transport,2008-09-01,49.7
Transport,2008-10-01,49.5
Transport,2008-11-01,48.9
Transport,2008-12-01,47.2
Transport,2009-01-01,45.8
Transport,2009-02-01,46.6
Transport,2009-03-01,47.1
Transport,2009-04-01,47.9
Transport,2009-05-01,48.2
Transport,2009-06-01,48.4
Transport,2009-07-01,48.8
Transport,2009-08-01,48.7
Transport,2009-09-01,49.0
Transport,2009-10-01,48.5
Transport,2009-11-01,48.5
Transport,2009-12-01,48.9
Transport,2010-01-01,48.7
Transport,2010-02-01,49.0
Transport,2010-03-01,49.2
Transport,2010-04-01,49.7
Transport,2010-05-01,49.9
Transport,2010-06-01,49.5
Transport,2010-07-01,49.3
Transport,2010-08-01,49.2
Transport,2010-09-01,49.0
Transport,2010-10-01,49.5
Transport,2010-11-01,49.6
Transport,2010-12-01,49.6
Transport,2011-01-01,49.9
Transport,2011-02-01,50.3
Transport,2011-03-01,50.8
Transport,2011-04-01,51.5
Transport,2011-05-01,51.7
Transport,2011-06-01,52.0
Transport,2011-07-01,51.9
Transport,2011-08-01,52.1
Transport,2011-09-01,52.3
Transport,2011-10-01,52.7
Transport,2011-11-01,53.1
Transport,2011-12-01,53.1
Transport,2012-01-01,53.2
Transport,2012-02-01,53.7
Transport,2012-03-01,54.1
Transport,2012-04-01,55.1
Transport,2012-05-01,55.2
Transport,2012-06-01,55.3
Transport,2012-07-01,54.4
Transport,2012-08-01,54.6
Transport,2012-09-01,55.8
Transport,2012-10-01,55.9
Transport,2012-11-01,55.9
Transport,2012-12-01,56.0
Transport,2013-01-01,55.9
Transport,2013-02-01,56.6
Transport,2013-03-01,58.2
Transport,2013-04-01,58.5
Transport,2013-05-01,57.2
Transport,2013-06-01,57.4
Transport,2013-07-01,58.8
Transport,2013-08-01,59.5
Transport,2013-09-01,59.6
Transport,2013-10-01,59.5
Transport,2013-11-01,59.1
Transport,2013-12-01,59.5
Transport,2014-01-01,60.3
Transport,2014-02-01,61.2
Transport,2014-03-01,62.2
Transport,2014-04-01,62.4
Transport,2014-05-01,62.3
Transport,2014-06-01,62.3
Transport,2014-07-01,62.8
Transport,2014-08-01,63.1
Transport,2014-09-01,62.1
Transport,2014-10-01,62.3
Transport,2014-11-01,61.6
Transport,2014-12-01,60.6
Transport,2015-01-01,58.7
Transport,2015-02-01,57.3
Transport,2015-03-01,59.1
Transport,2015-04-01,61.8
Transport,2015-05-01,61.9
Transport,2015-06-01,62.7
Transport,2015-07-01,63.4
Transport,2015-08-01,62.6
Transport,2015-09-01,61.6
Transport,2015-10-01,61.9
Transport,2015-11-01,61.6
Transport,2015-12-01,61.7
Transport,2016-01-01,62.0
Transport,2016-02-01,62.3
Transport,2016-03-01,61.9
Transport,2016-04-01,63.4
Transport,2016-05-01,63.9
Transport,2016-06-01,64.8
Transport,2016-07-01,65.4
Transport,2016-08-01,63.9
Transport,2016-09-01,63.9
Transport,2016-10-01,64.6
Transport,2016-11-01,65.4
Transport,2016-12-01,65.2
Transport,2017-01-01,66.2
Transport,2017-02-01,66.8
Transport,2017-03-01,66.6
Transport,2017-04-01,66.4
Transport,2017-05-01,67.2
Transport,2017-06-01,67.0
Transport,2017-07-01,66.0
Transport,2017-08-01,66.3
Transport,2017-09-01,67.5
Transport,2017-10-01,68.1
Transport,2017-11-01,68.3
Transport,2017-12-01,69.4
Transport,2018-01-01,69.1
Transport,2018-02-01,68.9
Transport,2018-03-01,68.5
Transport,2018-04-01,69.7
Transport,2018-05-01,70.6
Transport,2018-06-01,71.9
Transport,2018-07-01,72.6
Transport,2018-08-01,72.7
Transport,2018-09-01,73.3
Transport,2018-10-01,75.2
Transport,2018-11-01,75.7
Transport,2018-12-01,73.6
Transport,2019-01-01,71.1
Transport,2019-02-01,71.4
Transport,2019-03-01,72.9
Transport,2019-04-01,74.9
Transport,2019-05-01,75.6
Transport,2019-06-01,75.8
Transport,2019-07-01,74.8
Transport,2019-08-01,75.0
Transport,2019-09-01,75.0
Transport,2019-10-01,75.5
Transport,2019-11-01,75.5
Transport,2019-12-01,76.0
Transport,2020-01-01,75.7
Transport,2020-02-01,75.8
Transport,2020-03-01,75.3
Transport,2020-04-01,72.3
Transport,2020-05-01,69.3
Transport,2020-06-01,71.4
Transport,2020-07-01,74.8
Transport,2020-08-01,75.0
Transport,2020-09-01,75.2
Transport,2020-10-01,75.0
Transport,2020-11-01,74.5
Transport,2020-12-01,74.8
Transport,2021-01-01,75.4
Transport,2021-02-01,76.8
Transport,2021-03-01,78.2
Transport,2021-04-01,79.9
Transport,2021-05-01,79.8
Transport,2021-06-01,80.2
Transport,2021-07-01,80.7
Transport,2021-08-01,82.5
Transport,2021-09-01,82.9
Transport,2021-10-01,83.2
Transport,2021-11-01,85.6
Transport,2021-12-01,87.3
Transport,2022-01-01,86.3
Transport,2022-02-01,87.8
Transport,2022-03-01,90.5
Transport,2022-04-01,91.7
Transport,2022-05-01,92.4
Transport,2022-06-01,96.2
Transport,2022-07-01,100.9
Transport,2022-08-01,99.9
Transport,2022-09-01,97.7
Transport,2022-10-01,97.5
Transport,2022-11-01,98.7
Transport,2022-12-01,99.4
Transport,2023-01-01,95.9
Transport,2023-02-01,96.5
Transport,2023-03-01,98.5
Transport,2023-04-01,98.7
Transport,2023-05-01,98.9
Transport,2023-06-01,98.0
Transport,2023-07-01,98.3
Transport,2023-08-01,99.1
Transport,2023-09-01,101.8
Transport,2023-10-01,104.7
Transport,2023-11-01,103.0
Transport,2023-12-01,102.0
Transport,2024-01-01,100.3
Transport,2024-02-01,101.7
Transport,2024-03-01,103.8
Transport,2024-04-01,104.4
Transport,2024-05-01,105.1
Transport,2024-06-01,103.4
Transport,2024-07-01,102.4
Transport,2024-08-01,101.9
Transport,2024-09-01,100.7
Transport,2024-10-01,99.2
Transport,2024-11-01,99.6
Transport,2024-12-01,100.0
Transport,2025-01-01,100.1
Transport,2025-02-01,101.2
Transport,2025-03-01,101.3
Transport,2025-04-01,100.3
Transport,2025-05-01,100.1
Transport,2025-06-01,100.0
Transport,2025-07-01,100.7
Transport,2025-08-01,100.5
Transport,2025-09-01,100.6
Transport,2025-10-01,100.7
Transport,2025-11-01,100.3
Transport,2025-12-01,101.0
Transport,2026-01-01,99.9
